 "class" , "classLabel" , "subClassOf" , "subClassOfLabel" ,
 "https://www.sdir.no/SDIR_Simulator#StabilityPoster" , "Stability poster" , "https://www.sdir.no/SDIR_Simulator#Poster" , "Poster" ,
 "https://www.sdir.no/SDIR_Simulator#ServiceStation" , "Service station" , "https://www.sdir.no/SDIR_Simulator#Company" , "Company" ,
 "https://www.sdir.no/SDIR_Simulator#Identification" , "Identification" ,  ,  ,
 "https://www.sdir.no/SDIR_Simulator#Door" , "Door" , "https://www.sdir.no/SDIR_Simulator#MeansOfClosure" , "Means of closure" ,
 "https://www.sdir.no/SDIR_Simulator#LooseBulkhead" , "Loose bulkhead" , "https://www.sdir.no/SDIR_Simulator#Stability" , "Stability" ,
 "https://www.sdir.no/SDIR_Simulator#LooseBulkhead" , "Loose bulkhead" , "https://www.sdir.no/SDIR_Simulator#Bulkhead" , "Bulkhead" ,
 "https://www.sdir.no/SDIR_Simulator#AiringPipe" , "Airing pipe" , "https://www.sdir.no/SDIR_Simulator#Pipe" , "Pipe" ,
 "https://www.sdir.no/SDIR_Simulator#AiringPipe" , "Airing pipe" , "https://www.sdir.no/SDIR_Simulator#ExternalOpenings" , "External openings" ,
 "https://www.sdir.no/SDIR_Simulator#Thermometer" , "Thermometer" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#ExtinguisherSpareCharge" , "Extinguisher spare charge" , "https://www.sdir.no/SDIR_Simulator#Fireproofing" , "Firesafety" ,
 "https://www.sdir.no/SDIR_Simulator#ExtinguisherSpareCharge" , "Extinguisher spare charge" , "https://www.sdir.no/SDIR_Simulator#Equipment" , "Equipment" ,
 "https://www.sdir.no/SDIR_Simulator#ExtinguisherSpareCharge" , "Extinguisher spare charge" , "https://www.sdir.no/SDIR_Simulator#SparePart" , "Spare part" ,
 "https://www.sdir.no/SDIR_Simulator#InstructionForUseAndMaintenance" , "Instruction for use and maintenance" , "https://www.sdir.no/SDIR_Simulator#Information" , "Information" ,
 "https://www.sdir.no/SDIR_Simulator#VesselCertificate" , "Vessel certificate" , "https://www.sdir.no/SDIR_Simulator#Certificate" , "Certificate" ,
 "https://www.sdir.no/SDIR_Simulator#MMSI" , "MMSI" , "https://www.sdir.no/SDIR_Simulator#Identification" , "Identification" ,
 "https://www.sdir.no/SDIR_Simulator#Iceland" , "Iceland" , "https://www.sdir.no/SDIR_Simulator#Country" , "Country" ,
 "https://www.sdir.no/SDIR_Simulator#RadioInspectionCompany" , "Radio inspection company" , "https://www.sdir.no/SDIR_Simulator#Company" , "Company" ,
 "https://www.sdir.no/SDIR_Simulator#WorkingDeck" , "Working deck" , "https://www.sdir.no/SDIR_Simulator#Deck" , "Deck" ,
 "https://www.sdir.no/SDIR_Simulator#AuxiliaryVessel" , "Auxiliary vessel" , "https://www.sdir.no/SDIR_Simulator#Ship" , "Ship" ,
